donor	n.cells
DLCP0015	125
DLCP0018	240
DLCP0019	504
DLCP1286	630
DLCP1287	5523
DLCP1288	1312
DLCP1295	2209
DLCP1298	1205
DLCP1299	1288
DLCP1303	3293
DLCP1307	2161
DLCP1308	1927
DLCP1314	1484
DLCP1318	2565
DLCP1320	738
DLCP1325	2145
DLCP1328	472
DLCP1329	2062
DLCP1330	3945
DLCP1338	3368
DLCP1353	3194
DLCP1355	1181
DLCP1363	2738
DLCP1367	6388
DLCP1369	2746
DLCP1371	1900
DLCP1374	2769
DLCP1389	2071
DLCP1401	2574
DLCP1403	5764
DLCP1405	1336
DLCP1406	1696
DLCP1410	1549
DLCP1414	3539
DLCP1415	494
DLCP1416	5542
DLCP1418	3390
DLCP1421	4615
DLCP1423	3487
DLCP1427	5353
DLCP1431	1140
DLCP1436	1685
DLCP1437	898
DLCP1438	2354
DLCP1453	2968
DLCP1454	799
DLCP1456	338
DLCP1464	3860
DLCP1466	1688
DLCP1470	2499
DLCP1475	3582
DLCP1476	1666
DLCP1479	6367
DLCP1487	917
DLCP1489	4235
DLCP1505	2737
DLCP1508	5287
DLCP1510	9336
DLCP1518	126
DLCP1519	1846
DLCP1524	587
DLCP1538	4415
DLCP1545	1341
DLCP1556	2766
DLCP1567	3175
DLCP1568	3419
DLCP1577	1632
DLCP1578	2457
DLCP1580	734
DLCP1582	2078
DLCP1589	1464
DLCP1604	3210
DLCP1605	2378
DLCP1606	1773
DLCP1611	2666
DLCP1615	2387
DLCP1616	788
DLCP1618	3046
DLCP1620	4448
DLCP1621	1280
DLCP1624	1522
DLCP1626	860
DLCP1630	894
DLCP1632	2648
DLCP1636	1029
DLCP1638	2068
DLCP1676	2205
DLCP1682	4241
DLCP1700	2307
DLCP1730	1971
DLCP1731	3873
DLCP1742	2256
DLCP1751	4898
DLCP1754	1791
DLCP1757	2263
DLCP1767	652
DLCP1781	810
DLCP1784	3118
DLCP1788	2935
DLCP1790	2535
DLCP1796	3241
DLCP1808	6061
DLCP1810	2717
DLCP1812	3831
DLCP1821	1147
DLCP1830	3344
DLCP1832	1929
DLCP1838	1711
DLCP1841	4041
DLCP1848	3426
DLCP1864	3173
DLCP1865	1318
DLCP1867	1770
DLCP1869	2386
DLCP1877	3740
DLCP1878	5101
DLCP1880	1748
DLCP1885	1454
DLCP1915	2454
DLCP1917	2704
